	BP_RCS_1	BM_RCS_1	BP_RCS_2	BM_RCS_2	BP_RCS_3	BM_RCS_3	BP_RCS_4	BM_RCS_4	BP_RCS_5	BM_RCS_5	BP_RCS_6	BM_RCS_6	BP_Pitt_6	BM_Pitt_6	BP_Pitt_7	BM_Pitt_7	BP_Pitt_12	BM_Pitt_12	BP_Pitt_17	BM_Pitt_17	BP_Pitt_25	BM_Pitt_25	BP_Pitt_29	BM_Pitt_29	BP_Pitt_47	BM_Pitt_47	BP_Pitt_51	BM_Pitt_51	BP_Pitt_52	BM_Pitt_52	BP_Pitt_62	BM_Pitt_62	BP_Pitt_64	BM_Pitt_64	BP_Pitt_68	BM_Pitt_68	BP_Pitt_71	BM_Pitt_71	BP_Pitt_72	BM_Pitt_72
ACTB	11373.74	7823.31	8218.81	11133.13	16361.53	11963.43	17051.33	13039.8	14823.03	12981.71	10694.34	8912.27	7780.69	5477.52	10869.25	7323.31	9968.22	8708.16	10859.42	9488.47	8258.4	11609.58	10727.35	10320.3	10441.88	6723.8	9682.06	10971.94	11301.28	12035.34	10402.93	7218.53	12281.92	10162.19	11940.09	12450.45	11476.37	8096.07	8018.41	6507.31
ACTR3B	98.76	133.75	64.94	104.17	90.82	136.53	86.54	473.78	242.7	297.81	189.25	266.01	230.07	178.52	130.08	161.15	208.02	291.84	185.19	247.57	323.94	376.23	153.97	186.96	161.06	240.53	188.31	141.69	72.66	71.16	153.14	178.15	209.69	162.94	394.69	245.55	235.95	229.36	324.13	140.61
AKAP2	225.01	128.8	469.03	56.27	158.2	179.56	148.56	96.1	393.82	205.12	228.31	129.81	233.35	121.85	122.62	88.67	303.07	900.48	535.3	71.35	339.27	355.91	186.63	303.08	253.4	92.8	256.1	221.62	239.67	321.37	165.81	43.14	176.84	108.88	242.12	110.25	230.16	200.26	245.46	111.08
ALDH4A1	116.88	136.23	144.32	180.89	79.68	134.88	113.94	87.67	59.56	84.97	98.33	410.71	51.49	52.42	37.32	67.55	69.52	92.16	86.81	53.3	60.19	75.25	73.87	79.7	93.41	698.59	78.34	108.99	135.13	84.93	51.75	124.62	39.62	49.49	58.04	57.63	83.96	104.41	135.32	122.33
ANLN	281.27	285.46	194.83	237.16	262.49	304.51	259.62	151.74	332.78	290.08	129.31	246.85	195.01	263.53	292.15	258.25	334.57	205.44	162.04	202.01	201.37	267.87	284.61	308	161.06	190.79	225.22	232.52	326.35	348.92	212.28	206.91	465.77	422.57	308.45	270.61	241.74	196.84	119.58	130.76
AP2B1	932.55	661.33	1522.54	786.35	986.09	743.89	1445.22	458.6	837.52	621.36	1527.47	1330.03	689.11	966.29	633.35	537.62	554	622.08	853.59	778.81	908.36	693.01	785.4	1324.48	1401.2	1269.48	595.81	435.97	419.42	477.47	889.27	726.97	605.88	641.85	613.59	776.74	812.09	696.64	623.09	402.14
AURKA	117.51	170.29	14.43	186.47	108.98	137.36	50.48	146.69	215.89	217.99	49.84	70.23	120.51	75.09	109.82	108.37	122.75	192.96	49.19	80.8	195.9	188.87	201.41	198.77	65.5	113.59	216.18	148.96	72.66	73.46	89.77	147.79	134.32	109.64	187.39	122.78	131.73	97.56	56.64	52.02
AYTL2	138.13	154.81	331.93	519.9	117.18	143.98	116.83	104.53	317.14	194.82	141.43	174.5	230.07	133.18	298.55	234.33	276.46	514.56	124.42	178.8	195.9	195.64	170.3	263.71	151.39	123.24	94.91	116.26	158.08	195.12	226.01	209.3	228.05	191.87	252.07	253.07	114.36	222.51	110.14	164.51
AZGP1	138.76	556.68	851.47	1733.14	1865.54	2409.57	6471.78	12260.85	1306.54	717.49	6789.45	4594.46	29877.09	53341.36	1421.3	2344.7	47.8	1711.68	2210.66	1606.63	540.64	75.25	672.65	4996.81	1797.4	6225.66	418.8	541.33	3119.48	5086.84	1765.86	9615.92	7703.5	10304.57	1222.2	6173.86	5256.14	7697.25	12915.04	6285.15
BAG1	36.88	18.58	115.45	115.33	107.22	171.28	87.98	60.7	135.49	89.26	144.8	144.71	151.19	104.85	260.16	133.7	36.39	38.4	92.59	86.82	32.83	42.14	188.19	298.16	105.22	111.36	54.23	87.19	70.12	66.57	53.86	49.53	60.88	41.88	91.21	107.74	63.69	53.06	56.64	42.18
BBC3	75	93.5	72.16	43.71	82.61	110.05	76.44	84.3	87.85	100.41	64.65	108.53	72.31	92.09	91.7	71.78	53.23	65.28	52.08	76.51	79.89	63.96	56.77	55.1	128.85	74.24	61.01	79.93	75.21	66.57	52.81	66.31	33.82	44.16	74.63	170.38	53.56	58.2	78.67	63.27
BCL2	344.39	218.59	266.99	212.05	480.45	482.41	346.16	227.61	255.35	239.45	515.89	589.47	266.22	274.87	200.45	194.92	310.68	224.64	526.62	456.46	276.89	322.8	150.08	178.11	462.77	204.16	363.81	265.22	304.68	319.08	243.97	321.94	218.39	233.74	187.39	258.08	215.69	130.08	365.05	230.6
BIRC5	448.77	376.49	331.93	421.78	345.1	426.97	435.59	212.44	546.44	684.87	216.19	708.64	601.46	590.82	395.58	458.81	435.05	350.4	295.14	424.65	558.15	526.72	1485.27	1004.67	226.55	203.41	460.98	326.98	569.84	493.53	462.59	516.86	686.09	678.39	389.71	476.07	712.21	761.68	374.49	253.09
BLVRA	424.4	494.76	497.89	418.06	898.79	456.76	494.72	94.42	276.94	131.31	412.85	295.8	274.99	102.01	270.82	195.63	191.18	115.2	283.57	483.11	100.69	87.28	243.4	138.75	423.04	467.7	301.29	203.45	508.65	309.89	306.28	326.74	244.48	117.25	281.92	283.14	257.67	174.59	333.58	440.1
BUB1B	70	149.23	72.16	108.35	138.27	172.11	56.25	42.15	121.35	158.77	34.35	46.82	95.31	49.59	107.69	144.96	48.34	103.68	40.51	66.19	89.74	114.37	101.09	94.47	67.64	55.68	167.97	145.32	101.99	48.21	84.49	112.64	178.77	227.65	127.69	85.19	101.33	80.45	44.06	32.34
C16orf61	405.65	470.61	606.13	572.91	366.19	305.33	315.87	190.52	679.7	844.51	321.93	363.9	583.93	539.82	279.35	231.51	523.59	823.68	358.8	706.61	455.27	467.27	506.23	592.37	223.33	290.27	311.84	199.82	358.22	316.78	382.32	716.58	574.96	355.57	475.95	410.92	596.4	376.56	223.43	203.88
C20orf46	28.13	30.34	50.51	44.18	35.74	82.75	66.35	59.01	49.88	63.51	43.78	74.48	76.69	34	23.46	30.26	31.5	38.4	127.32	35.24	51.44	48.16	35.77	32.47	51.54	42.32	29.38	47.23	43.34	32.14	66.54	78.29	63.78	33.5	39.8	50.11	33.29	54.77	53.5	29.53
C9orf30	207.51	230.35	310.28	276.22	231.43	189.49	295.68	220.87	581.43	522.67	245.82	168.12	488.62	361.3	340.13	267.4	480.68	374.4	248.84	180.52	276.89	218.96	549	916.11	170.72	135.11	328.41	239.78	219.27	128.55	232.35	219.69	465.77	558.86	334.99	415.93	238.85	201.97	188.82	119.52
CALM2	4509.62	4785.38	6645.76	9348.37	4363.85	4415.33	5105.88	3023.06	3807.94	3407.21	5065.99	6109.63	8198.09	9993	5643.61	3603.6	4293.51	7027.2	3191.56	5225.62	4270.38	4705.84	7179.82	9841.09	4372.17	4762.42	4627.87	3015.47	5024.06	3101.23	2570.63	3356.83	7789.5	5220.81	5029.76	2668.49	5387.87	3433.55	2070.69	4753.94
CCNB1	533.15	775.27	281.42	763.57	667.35	865.52	328.85	183.78	953.66	1010.15	103.04	161.73	227.88	113.35	477.68	609.4	305.79	595.2	222.8	406.6	504.52	404.07	797.07	758.67	286.68	383.81	1061.31	733.88	334	367.28	268.26	442.57	702.51	758.34	837.46	709.09	298.2	265.3	179.38	216.54
CCNE1	72.5	73.69	57.73	51.62	58.01	81.92	56.25	65.76	499.54	830.77	35.69	44.69	105.17	73.68	56.51	57	68.98	93.12	63.66	81.66	291.11	231	275.28	469.37	45.1	57.16	80.6	61.76	283.01	254.8	64.42	103.85	315.02	281.71	187.39	190.43	95.54	82.16	53.5	52.02
CCNE2	377.52	326.33	173.18	391.08	299.4	374.01	327.41	219.18	290.34	321.84	166.35	270.26	216.92	347.13	313.47	268.81	336.2	216	234.38	207.17	435.57	422.13	177.3	230.26	197.56	466.96	176.26	145.32	303.41	339.73	241.85	222.08	278.3	319.78	262.02	253.07	172.26	123.24	220.29	202.47
CD68	330.64	178.34	815.39	169.27	564.82	575.09	967.81	87.67	704.26	533.82	447.2	202.16	488.62	228.11	239.9	273.03	404.1	254.4	402.2	173.64	237.49	205.42	336.71	149.57	390.83	306.61	339.71	570.4	260.06	362.69	374.93	152.58	373.97	233.74	548.91	1403.15	500.86	686.37	213.99	275.59
CDC20	179.38	271.84	101.02	240.88	240.22	250.72	196.16	109.59	727.34	468.6	43.1	102.15	214.73	137.43	268.69	284.29	433.97	947.52	69.44	96.28	983.87	1219.72	1107.34	1115.87	56.91	103.93	405.99	348.78	187.4	245.62	179.54	308.36	523.75	655.55	673.29	541.21	564.55	539.17	56.64	82.96
CDC42BPA	120.01	92.88	1544.18	69.29	109.57	111.71	336.07	411.39	216.64	349.3	323.95	429.87	166.53	154.44	197.25	113.29	126.01	128.64	355.9	156.45	373.19	316.78	270.61	334.56	294.2	107.65	192.07	294.28	299.58	243.32	377.04	373.07	304.39	269.53	325.04	929.59	324.26	183.15	343.02	219.35
CDC6	295.02	383.3	736.01	2277.69	201.55	362.43	190.39	156.8	241.95	324.41	73.41	121.3	232.26	277.7	474.48	403.92	151.54	276.48	127.32	201.15	418.06	277.65	499.24	399.51	136.36	343.73	229.74	279.75	377.35	291.53	183.77	248.45	321.78	623.57	265.34	310.7	257.67	270.44	154.2	164.51
CDCA1	45.63	58.83	72.16	133.93	83.79	114.19	44.71	59.01	67.75	115	31.65	42.56	66.83	65.17	29.85	30.26	47.8	105.6	46.3	50.72	107.25	59.44	91.76	97.42	42.95	54.19	84.36	119.89	45.89	61.98	65.48	82.28	73.44	77.66	167.49	177.9	60.8	71.89	25.18	26.72
CDCA7	59.38	89.17	21.65	33.02	135.35	132.39	76.44	8.43	248.65	360.46	12.12	6.38	237.74	287.62	66.11	137.92	177.61	281.28	28.94	74.79	357.87	185.1	171.08	171.22	35.43	8.17	244.8	134.42	70.12	82.64	24.29	15.98	219.35	277.91	104.48	155.35	228.72	171.16	31.47	7.03
CDH3	479.4	590.12	108.24	107.89	65.62	88.54	49.04	182.09	910.48	538.97	129.31	82.99	289.23	133.18	252.7	15.48	757.68	321.6	28.94	10.32	797.82	523.71	686.64	1209.35	33.29	24.5	85.12	79.93	170.83	360.39	160.53	99.86	355.61	151.52	1134.31	456.02	370.58	819.88	72.38	64.68
CEGP1	45	11.15	36.08	7.44	123.63	139.01	171.64	237.73	49.88	32.61	1105.2	17.02	44.92	35.42	17.06	17.59	34.22	15.36	86.81	25.79	27.36	44.39	25.66	20.66	2615.57	25.24	228.98	43.6	35.69	41.32	415.06	353.1	31.89	13.7	19.9	20.04	50.67	20.54	286.37	68.9
CENPA	71.25	100.93	72.16	152.99	125.38	96.81	70.67	26.98	294.81	277.21	15.49	25.54	116.13	49.59	76.77	48.55	127.09	90.24	23.15	110.89	276.89	245.3	224.73	312.92	62.28	42.32	162.7	101.73	128.76	43.61	59.14	91.87	179.74	102.79	194.03	87.7	209.9	97.56	31.47	25.31
CENPF	353.14	357.91	266.99	378.53	410.14	635.49	305.78	234.36	492.84	885.7	140.76	259.62	498.48	405.22	420.1	321.59	430.17	454.08	162.04	268.2	780.31	671.19	926.93	738.01	253.4	195.25	420.3	261.58	420.69	394.83	426.68	498.49	1026.23	941.07	943.6	1297.91	660.09	345.75	179.38	174.35
CEP55	103.76	158.52	86.59	170.2	169.91	263.13	64.91	38.78	160.06	301.24	37.04	97.89	131.47	144.52	159.94	152.7	167.29	192.96	63.66	144.42	218.88	185.86	430.03	494.96	60.13	90.57	146.88	94.46	62.47	73.46	107.73	170.16	123.69	189.58	208.95	157.85	180.95	106.12	44.06	52.02
COL4A2	1753.22	674.96	562.83	478.04	1201.11	2561.82	892.81	849.76	1028.85	2647.67	756.33	853.35	1669.64	1938.24	468.08	749.43	694.67	883.2	1111.12	736.69	854.73	626.04	462.69	1040.1	895.48	581.29	1620.2	4973.7	720.27	2410.28	988.54	387.45	510.22	710.37	1295.17	2798.78	683.26	1032.12	519.25	326.21
CTSL2	11.88	10.53	21.65	10.7	13.48	28.96	27.4	20.23	43.18	28.32	12.12	17.02	14.24	11.33	31.99	17.59	21.73	36.48	60.76	17.19	33.93	22.57	26.44	58.06	26.84	17.82	15.06	32.7	17.85	34.43	20.07	12.78	24.16	9.9	19.9	42.6	30.4	34.23	15.73	15.47
CXXC5	151.88	112.7	548.4	206.47	333.97	382.29	295.68	229.3	236	238.59	321.25	385.18	129.28	53.84	479.81	349.73	82.56	104.64	217.01	471.93	207.94	224.23	69.21	75.77	432.71	439.49	84.36	374.21	124.93	126.25	484.77	425.79	65.71	63.19	155.88	200.45	118.7	159.18	276.93	268.56
DCK	1428.2	2526.44	469.03	361.79	403.11	545.3	262.51	306.86	706.5	775.85	354.93	329.85	451.37	331.54	412.63	282.88	322.62	315.84	332.76	216.62	383.04	450.72	423.03	435.92	535.78	262.06	359.29	261.58	604.26	413.19	417.17	595.15	521.81	720.27	432.83	596.34	416.9	549.44	412.25	203.88
DHCR7	70.63	78.64	144.32	72.54	66.21	86.88	96.64	150.06	133.26	103.85	57.92	255.37	170.91	124.68	130.08	88.67	139.04	224.64	54.98	80.8	88.65	49.66	193.63	260.76	82.68	121.01	136.34	188.92	177.2	142.32	60.2	132.61	180.7	255.06	96.18	182.91	143.31	152.34	69.23	52.02
DIAPH3	34.38	58.21	7.22	56.73	75	64.54	17.31	11.8	99.01	84.11	16.16	42.56	65.73	89.26	34.12	33.78	73.32	199.68	14.47	49.86	43.78	72.24	100.31	67.9	23.62	37.12	38.41	21.8	44.62	55.09	35.91	39.14	26.09	57.1	71.31	35.08	40.53	29.1	22.03	18.28
DTL	143.76	142.42	50.51	785.89	302.33	278.85	75	97.79	164.53	333	34.35	68.1	268.41	290.45	113.02	130.18	96.14	142.08	81.02	141.84	352.4	270.88	248.06	200.74	73.01	128.43	153.66	156.22	73.94	91.82	155.25	246.85	225.15	351.76	280.26	180.4	156.34	148.91	31.47	44.99
EBF4	55	39.01	101.02	69.75	298.81	511.37	129.81	350.7	134.75	219.71	336.07	591.6	133.66	60.92	69.31	30.26	42.91	47.04	170.72	203.73	198.09	118.89	49.77	61.01	401.57	489.98	247.06	98.09	49.72	114.78	199.61	145.39	62.81	61.67	48.09	62.64	94.09	92.43	210.85	151.86
ECT2	651.91	637.8	382.44	887.26	635.13	860.56	509.15	315.29	846.46	1012.72	230.33	421.35	304.57	311.71	521.39	425.73	369.88	316.8	306.71	385.97	441.05	419.87	766.74	987.95	336.07	423.16	405.99	319.71	378.62	493.53	462.59	521.66	377.83	673.06	477.6	363.32	610.88	335.48	223.43	264.34
EGFR	237.51	338.1	122.67	162.29	69.72	66.2	151.45	886.85	664.81	655.69	264.01	136.2	237.74	648.91	142.88	31.67	769.63	434.88	523.73	40.4	201.37	239.28	248.84	231.24	188.97	178.17	119.76	108.99	490.81	456.81	66.54	43.14	153.64	246.69	268.65	456.02	445.85	189.99	377.63	246.06
EGLN1	76.88	123.23	122.67	293.43	84.96	105.92	102.41	212.44	125.81	132.17	116.51	117.04	87.65	120.43	110.89	102.04	117.32	105.6	193.87	112.61	89.74	127.16	178.08	179.09	95.56	137.34	116.75	98.09	154.25	87.23	117.23	225.28	208.73	89.84	175.78	205.46	159.23	118.1	122.73	101.24
ERBB2	14478.28	15475.09	3615.12	12209.66	7414.1	15653.08	724.05	1996.27	531.55	786.15	629.71	15258.11	357.15	474.64	17785.95	11938.82	387.26	292.8	3625.59	8309.07	472.78	589.17	426.14	688.81	923.4	2816.62	301.29	337.88	13831.79	12271.77	831.18	6206.37	339.18	657.07	456.05	415.93	353.21	325.21	333.58	281.21
ESM1	175.01	84.83	144.32	31.16	272.45	152.25	135.58	134.88	169.74	296.09	86.88	451.15	417.41	270.62	100.23	148.48	127.09	126.72	31.83	123.79	123.67	34.61	73.1	86.59	128.85	132.14	189.06	148.96	133.86	144.62	174.26	46.33	34.79	56.34	116.08	47.61	72.38	97.56	18.88	50.62
ESR1	34.38	16.1	288.63	11.16	778.67	633.01	1120.7	222.56	29.78	14.59	544.85	136.2	40.54	18.42	133.28	135.81	23.9	29.76	1125.58	656.75	6.57	13.54	74.65	28.54	2354.66	20.04	1334.73	3698.49	20.4	22.96	1930.61	1663.23	105.33	124.11	39.8	52.62	28.95	6.85	1982.57	1057.37
EXO1	56.25	52.02	50.51	101.84	82.03	133.22	36.06	45.52	94.55	217.13	10.78	23.41	178.58	96.35	68.24	52.78	44.54	138.24	31.83	41.26	154.31	40.63	212.29	200.74	36.51	49	85.87	47.23	66.29	75.75	98.22	98.26	124.66	134.76	167.49	142.82	131.73	99.28	34.62	18.28
EXT1	880.67	667.53	800.96	975.62	618.13	861.39	705.3	871.68	1003.54	1342.28	635.77	738.43	758.13	702.75	858.32	615.73	632.21	746.88	998.27	849.3	928.06	623.03	493.01	1140.47	456.33	440.24	498.64	770.22	725.37	1099.55	528.07	407.42	549.84	571.8	781.08	952.14	739.71	585.38	497.22	548.37
FGF18	17.5	20.43	72.16	15.35	25.19	24.82	28.85	32.03	17.12	25.75	59.27	19.15	23.01	24.09	11.73	16.89	10.32	18.24	34.72	22.35	14.23	25.58	37.33	31.49	38.65	25.98	21.09	32.7	16.57	29.84	25.35	32.75	28.02	29.69	14.93	20.04	20.27	18.83	37.76	35.15
FGFR4	179.38	280.51	93.81	46.04	24.02	72.82	53.37	541.22	134	143.33	19.53	1449.2	95.31	43.92	1085.43	847.95	42.91	53.76	494.79	263.04	105.06	66.22	104.98	129.89	140.66	4069.03	27.12	61.76	58.64	82.64	27.46	45.54	64.74	64.72	48.09	72.66	37.64	94.14	69.23	29.53
FLT1	188.76	156.66	180.4	184.61	160.54	369.05	118.27	364.18	203.98	417.96	135.37	183.01	381.26	230.95	99.16	110.48	181.95	215.04	269.1	194.27	146.65	293.46	118.98	174.17	214.74	212.32	173.24	268.85	154.25	213.48	151.03	72.7	85.04	149.23	228.85	157.85	131.73	128.37	201.4	33.75
FOXA1	1817.6	2025.49	11783.42	5738.39	3765.06	5172.46	3301.51	4909.74	17.12	35.19	2636.04	4232.69	46.01	43.92	2799.95	2594.51	28.79	15.36	2100.7	3502.95	37.21	53.42	21.77	38.38	4547.19	5384.54	2168.56	1362.41	2460.4	1081.18	2471.36	2150.54	112.09	95.93	24.88	57.63	72.38	13.69	2630.84	1594.49
FOXC1	28.13	37.15	43.29	21.86	33.4	70.33	33.17	75.87	279.17	196.54	61.29	63.84	417.41	488.81	31.99	31.67	212.37	214.08	60.76	44.7	237.49	234.01	331.27	465.44	53.69	40.83	46.7	61.76	47.17	114.78	53.86	58.32	200.03	153.04	202.32	220.49	293.86	427.91	72.38	149.04
GAPDH	6603.48	15678.2	4264.54	10851.32	5433.73	7131.06	6086.67	9532.85	9436.83	9964.15	3851.69	7001.28	4786.51	10231.04	11399.17	20709.62	11685.62	15229.44	3009.27	8687.31	18581.94	9798.43	16694.07	24936.8	3753.71	12110.57	12255.86	11702.19	6232.59	7462.69	7915.73	11264.78	6646.35	6829.61	10797.49	10338.21	8136.82	8628.39	3855	11282.33
GMPS	327.52	409.31	158.75	398.53	229.09	236.65	213.47	246.16	498.79	711.48	183.86	185.14	269.51	218.19	259.1	159.03	123.84	143.04	138.89	169.34	393.99	285.18	420.7	418.2	242.66	331.1	265.89	228.88	150.43	176.75	234.46	293.98	359.47	373.08	376.44	658.98	395.19	301.25	358.75	292.46
GNAZ	20	43.97	64.94	35.81	65.62	51.3	33.17	57.33	85.61	131.31	45.12	138.32	39.44	41.09	36.25	30.26	51.6	96.96	81.02	69.63	183.86	181.34	49.77	62.98	60.13	58.65	54.23	61.76	48.44	57.39	103.5	111.84	111.13	79.18	94.53	85.19	46.32	73.6	88.11	74.52
GPR126	60	65.02	165.96	141.37	37.5	61.23	57.69	57.33	145.92	87.54	59.27	40.43	373.59	697.09	189.79	192.81	77.13	64.32	112.85	127.22	176.2	226.49	183.52	212.55	80.53	172.23	164.96	101.73	192.5	144.62	289.38	266.02	167.17	191.11	149.25	62.64	59.35	83.87	81.82	64.68
GPR160	850.05	621.08	1291.63	1647.11	626.34	813.39	767.32	1114.47	297.79	289.23	424.3	881.01	262.94	477.48	669.6	524.95	403.01	240	723.38	747.87	255	245.3	231.73	273.55	602.35	1447.66	378.12	363.31	362.05	404.01	371.76	312.36	363.34	426.38	290.21	238.03	267.8	160.89	528.69	291.06
GPR180	262.51	220.44	223.69	219.03	215.03	284.65	237.99	171.98	254.61	195.68	153.56	191.52	159.95	182.77	239.9	178.74	303.61	183.36	182.29	148.71	186.05	222.73	152.41	209.59	167.5	155.16	134.08	159.86	237.12	231.85	214.4	162.17	148.81	196.44	190.71	235.53	198.32	83.87	132.17	130.76
GRB7	5558.42	6369.36	2236.9	6837.71	2214.74	4064.49	96.64	441.74	85.61	225.72	103.04	1619.45	185.15	281.95	6832.47	7388.05	63	96.96	1339.7	3440.19	239.68	360.42	181.96	243.05	225.48	827.76	108.47	141.69	4344.59	6331	283.04	2048.29	218.39	517.74	131.01	162.87	231.61	169.45	135.32	66.09
GSTM1	739.41	1211.21	678.29	798.91	6.45	12.41	4.33	11.8	12.66	9.44	6.06	10.64	12.05	9.92	10.66	7.74	235.72	242.88	17.36	8.6	257.19	179.84	14	20.66	15.03	11.88	976.19	381.47	220.54	87.23	504.83	773.3	6.76	11.42	490.87	135.3	13.03	1.71	9.44	11.25
GSTM3	358.14	281.75	274.2	283.66	275.96	320.23	343.28	195.58	180.9	194.82	235.05	308.57	154.47	216.78	259.1	220.26	291.67	210.24	251.74	158.17	190.43	212.19	130.64	178.11	180.38	308.83	139.35	145.32	271.54	300.71	220.73	204.51	195.2	243.64	172.47	130.29	146.21	109.55	229.73	203.88
GUSB	561.28	445.22	418.52	549.19	577.71	586.67	546.65	473.78	367.02	405.95	426.99	685.23	459.04	433.55	480.87	423.62	511.64	316.8	413.77	330.95	453.08	466.52	270.61	439.85	360.77	409.8	284.72	363.31	399.02	527.97	458.36	469.73	325.65	480.43	462.68	816.83	348.87	333.77	361.9	321.99
HMBS	386.9	324.47	216.47	322.73	282.41	358.29	350.49	220.87	253.86	260.9	187.9	312.82	239.93	293.29	291.08	268.11	375.31	273.6	208.33	214.05	221.07	218.96	177.3	197.79	193.27	223.46	170.23	225.25	316.16	348.92	289.38	234.87	211.62	302.27	223.88	220.49	147.65	145.49	125.88	179.98
HOXB13	18.13	40.25	14.43	38.6	7.03	3.31	75	106.22	53.6	17.16	4.71	17.02	10.96	8.5	100.23	56.3	7.6	6.72	60.76	70.49	255	121.14	97.98	52.15	12.88	10.39	143.87	58.13	17.85	20.66	174.26	71.9	4.83	30.46	4.98	12.53	5.79	6.85	9.44	9.84
HRASLS	40	124.46	101.02	152.99	15.23	36.41	75	119.71	94.55	278.93	22.23	55.33	291.42	213.94	136.48	47.15	50.51	54.72	60.76	42.98	85.36	35.37	49.77	83.64	23.62	109.87	80.6	65.4	50.99	66.57	65.48	64.71	156.54	262.68	124.38	245.55	43.43	107.83	40.91	61.87
IGFBP5	1700.09	1066.93	6126.22	1417.39	809.73	761.26	2267.36	1449.99	3337.43	2651.96	2015.75	2334.47	1223.74	297.54	1456.48	278.66	1300.82	2195.52	3203.14	280.24	599.74	684.73	370.15	6294.72	2125.96	965.85	2590.37	2198.02	1696.78	2451.6	18205.66	2470.89	700.58	449.98	1056.37	456.02	1127.66	1759.57	1548.3	3231.16
IL17R	511.28	353.58	584.48	428.75	445.29	652.04	543.76	396.22	605.99	592.18	526.67	491.58	559.83	524.23	423.3	355.36	526.84	371.52	419.56	323.22	367.72	397.29	367.04	320.79	490.69	413.51	273.42	247.05	642.51	612.9	372.82	399.43	554.67	401.25	389.71	448.51	453.09	467.28	431.13	357.14
