	BP_RCS_1	BM_RCS_1	BP_RCS_2	BM_RCS_2	BP_RCS_3	BM_RCS_3	BP_RCS_4	BM_RCS_4	BP_RCS_5	BM_RCS_5	BP_RCS_6	BM_RCS_6	BP_Pitt_6	BM_Pitt_6	BP_Pitt_7	BM_Pitt_7	BP_Pitt_12	BM_Pitt_12	BP_Pitt_17	BM_Pitt_17	BP_Pitt_25	BM_Pitt_25	BP_Pitt_29	BM_Pitt_29	BP_Pitt_47	BM_Pitt_47	BP_Pitt_51	BM_Pitt_51	BP_Pitt_52	BM_Pitt_52	BP_Pitt_62	BM_Pitt_62	BP_Pitt_64	BM_Pitt_64	BP_Pitt_68	BM_Pitt_68	BP_Pitt_71	BM_Pitt_71	BP_Pitt_72	BM_Pitt_72
MIA	23.13	19.82	43.29	12.56	12.89	14.89	18.75	30.35	104.97	12.02	70.72	34.05	3618.64	5007.13	23.46	10.56	116.23	96	37.62	18.91	859.11	1295.72	650.1	3522.76	36.51	24.5	22.6	25.43	6.37	27.55	28.52	15.98	74.41	143.14	114.43	27.56	757.08	296.11	53.5	18.28
MKI67	111.88	124.46	108.24	127.88	186.32	267.27	60.58	50.58	241.95	333	46.47	68.1	210.35	148.77	145.01	201.96	178.15	317.76	86.81	165.91	307.53	269.38	283.83	271.59	118.11	98	146.88	123.53	119.83	105.59	176.37	195.72	199.06	207.86	366.49	223	470.46	299.54	59.79	74.52
MLPH	85.63	66.26	115.45	222.28	558.37	755.47	139.91	773.89	23.08	43.77	281.52	325.59	4.38	7.08	242.04	188.59	9.23	15.36	245.95	594.86	6.57	9.03	11.66	41.33	537.93	752.04	74.57	101.73	21.67	59.68	142.58	368.28	7.73	18.27	4.98	2.51	37.64	18.83	107	139.2
MMP11	1160.06	333.14	396.87	266.46	875.93	401.32	3258.24	232.67	802.53	272.92	779.9	317.08	394.4	279.12	1093.96	232.92	661	248.64	248.84	191.69	253.9	217.46	196.74	214.51	420.9	186.34	329.16	348.78	674.38	408.6	344.3	214.89	224.19	309.88	276.94	260.58	285.17	164.32	182.52	172.95
MMP9	168.76	74.31	158.75	76.73	430.06	1122.04	1099.06	106.22	298.53	812.75	156.92	151.09	1079.13	1045.63	94.9	824.73	384.54	153.6	78.13	230.38	425.72	110.61	164.08	154.49	139.58	115.07	143.11	196.19	291.93	303.01	367.54	124.62	175.87	102.79	927.02	240.54	270.7	104.41	169.93	89.99
MRPL19	183.76	264.41	223.69	327.84	181.63	202.73	165.87	288.31	234.51	204.26	187.23	244.73	186.25	144.52	170.6	190	164.03	214.08	138.89	265.62	212.32	185.1	241.84	221.4	151.39	236.82	235.01	243.42	237.12	172.16	185.88	194.12	209.69	182.73	235.49	125.28	220.03	157.47	154.2	182.79
MS4A7	273.76	162.86	310.28	188.8	216.2	411.25	478.86	141.63	244.18	248.89	321.93	236.21	283.75	94.93	732.51	508.77	292.21	222.72	506.37	207.17	196.99	259.6	234.07	101.35	824.61	347.44	341.21	421.44	246.04	172.16	325.29	91.07	310.19	150.75	399.66	623.9	435.72	544.3	355.6	358.55
MTDH	1148.19	1138.14	757.66	1442.97	1085.69	1371.1	900.02	672.73	1651.22	1454.71	899.11	806.53	1331.11	1480.6	1010.8	882.43	1295.93	3049.92	902.78	1181.98	1697.43	1927.78	1531.15	1832.23	745.16	1135.85	1918.49	984.57	1045.35	1269.41	702.33	647.88	1660.14	1142.84	1703.12	1037.33	969.87	1020.14	601.07	1013.78
MYBL2	173.13	201.25	129.88	527.8	723.6	696.72	213.47	139.94	862.09	1092.54	30.31	70.23	576.27	308.87	488.34	339.88	792.98	1921.92	133.1	398.86	576.75	337.85	772.18	554	119.18	214.55	1991.55	1740.25	284.28	211.19	657.97	585.57	1085.18	590.07	1011.59	839.38	725.23	727.45	78.67	71.71
MYC	202.51	349.24	310.28	134.39	283.58	199.42	157.21	141.63	923.14	811.89	347.52	121.3	1115.28	718.34	646.14	931.69	362.27	437.76	2170.15	1815.51	1477.45	892.41	1629.9	951.54	671.07	98	2316.95	1104.46	430.89	291.53	502.72	407.42	2715.36	1027.11	986.72	1292.9	1052.39	917.44	944.08	361.36
